2025-07-20 22:44:21 | INFO     | backend.core.market_analyzer | ✅ Market analysis completed for SOLUSDT: breakout
2025-07-20 22:44:21 | INFO     | backend.core.signal_processor | 📊 Generating detailed signals for BNBUSDT 15
2025-07-20 22:44:21 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BNBUSDT 15
2025-07-20 22:44:21 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 15 → 15
2025-07-20 22:44:22 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 200 real candles for BNBUSDT
2025-07-20 22:44:22 | INFO     | backend.core.signal_processor | ✅ Generated 11 detailed signals for BNBUSDT 15
2025-07-20 22:44:22 | INFO     | backend.core.signal_processor | 📊 Generating signals for BNBUSDT 15m
2025-07-20 22:44:22 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BNBUSDT 15m
2025-07-20 22:44:22 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 15m → 15
2025-07-20 22:44:22 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 200 real candles for BNBUSDT
2025-07-20 22:44:22 | INFO     | backend.core.signal_processor | ✅ Generated 11 signals for BNBUSDT 15m
2025-07-20 22:44:22 | INFO     | backend.core.signal_processor | 📊 Generating signals for BNBUSDT 15m
2025-07-20 22:44:22 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BNBUSDT 15m
2025-07-20 22:44:22 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 15m → 15
2025-07-20 22:44:22 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 200 real candles for BNBUSDT
2025-07-20 22:44:22 | INFO     | backend.core.signal_processor | ✅ Generated 11 signals for BNBUSDT 15m
2025-07-20 22:44:27 | INFO     | backend.integrations.bybit_client | 💰 Fetching real wallet balance...
2025-07-20 22:44:27 | INFO     | backend.integrations.bybit_client | ✅ Retrieved real balance: {'USDT': {'available': 0.0, 'locked': 0.0, 'total': 9994.30440804}}
2025-07-20 22:44:27 | INFO     | backend.integrations.bybit_client | 📈 Fetching real positions...
2025-07-20 22:44:28 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 4 active positions
2025-07-20 22:44:28 | INFO     | backend.main | 🎯 Используем таймфрейм режима: 15m → API: 15
2025-07-20 22:44:28 | INFO     | backend.core.signal_processor | 📊 Generating detailed signals for BTCUSDT 15
2025-07-20 22:44:28 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BTCUSDT 15
2025-07-20 22:44:28 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 15 → 15
2025-07-20 22:44:28 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 200 real candles for BTCUSDT
2025-07-20 22:44:28 | INFO     | backend.core.signal_processor | ✅ Generated 11 detailed signals for BTCUSDT 15
2025-07-20 22:44:28 | INFO     | backend.core.signal_processor | 📊 Generating signals for BTCUSDT 15m
2025-07-20 22:44:28 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for BTCUSDT 15m
2025-07-20 22:44:28 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 15m → 15
2025-07-20 22:44:28 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 200 real candles for BTCUSDT
2025-07-20 22:44:28 | INFO     | backend.core.signal_processor | ✅ Generated 11 signals for BTCUSDT 15m
2025-07-20 22:44:28 | INFO     | backend.core.signal_processor | 📊 Generating signals for BTCUSDT 15m
2025-07-20 22:44:28 | INFO     | backend.core.signal_processor | 📊 Generating detailed signals for ETHUSDT 15
2025-07-20 22:44:28 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for ETHUSDT 15
2025-07-20 22:44:28 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 15 → 15
2025-07-20 22:44:28 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 200 real candles for ETHUSDT
2025-07-20 22:44:29 | INFO     | backend.core.signal_processor | ✅ Generated 11 detailed signals for ETHUSDT 15
2025-07-20 22:44:29 | INFO     | backend.core.signal_processor | 📊 Generating signals for ETHUSDT 15m
2025-07-20 22:44:29 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for ETHUSDT 15m
2025-07-20 22:44:29 | INFO     | backend.integrations.bybit_client | 🔄 Converted interval 15m → 15
2025-07-20 22:44:29 | INFO     | backend.integrations.bybit_client | ✅ Retrieved 200 real candles for ETHUSDT
2025-07-20 22:44:29 | INFO     | backend.core.signal_processor | ✅ Generated 11 signals for ETHUSDT 15m
2025-07-20 22:44:29 | INFO     | backend.core.signal_processor | 📊 Generating signals for ETHUSDT 15m
2025-07-20 22:44:29 | INFO     | backend.core.signal_processor | 📊 Generating detailed signals for SOLUSDT 15
2025-07-20 22:44:29 | INFO     | backend.integrations.bybit_client | 📊 Fetching real kline data for SOLUSDT 15
